aire,
athair,
bas,
bá,
carr,
cian,
cuach,
dias,
eas,
feá,
fleasc,
fána,
gal,
ian,
inse,
marg,
mil,
méid,
mí,
rinn,
rí,
svaeid,
sáile,
trá,
uasmhéid,
íoc,
íosmhéid,
